,id,source_url,xiaoqu_url,total_price,unit_price,down_payment,monthly_cost,lat,lng
139,139,http://cq.lianjia.com/ershoufang/CQSP92372714.html,http://cq.lianjia.com/xiaoqu/3611058134956/,67,6980,20,2489,106.488975,29.560175
140,140,http://cq.lianjia.com/ershoufang/CQSP92414040.html,http://cq.lianjia.com/xiaoqu/3611060401147/,42,8077,12,1560,0,0
141,141,http://cq.lianjia.com/ershoufang/CQSP92404769.html,http://cq.lianjia.com/xiaoqu/3611063775981/,90,10159,27,3344,106.488975,29.560175
142,142,http://cq.lianjia.com/ershoufang/CQSP92418175.html,http://cq.lianjia.com/xiaoqu/3611063775981/,60,7229,18,2229,106.488975,29.560175
143,143,http://cq.lianjia.com/ershoufang/CQSP92384263.html,http://cq.lianjia.com/xiaoqu/3611059553461/,30,6123,9,1115,106.478402,29.557803
144,144,http://cq.lianjia.com/ershoufang/CQSP92079642.html,http://cq.lianjia.com/xiaoqu/3611060402684/,80,7921,24,2972,106.488975,29.560175
145,145,http://cq.lianjia.com/ershoufang/CQSP90417369.html,http://cq.lianjia.com/xiaoqu/3611060457172/,70,7955,21,2601,0,0
146,146,http://cq.lianjia.com/ershoufang/CQSP91080423.html,http://cq.lianjia.com/xiaoqu/3611058134956/,98,7314,29,3641,106.488975,29.560175
147,147,http://cq.lianjia.com/ershoufang/CQSP92046903.html,http://cq.lianjia.com/xiaoqu/3611060388358/,81,7500,24,3009,106.488975,29.560175
148,148,http://cq.lianjia.com/ershoufang/CQSP92054696.html,http://cq.lianjia.com/xiaoqu/3611058134956/,105,6442,31,3901,106.488975,29.560175
149,149,http://cq.lianjia.com/ershoufang/CQSP91903386.html,http://cq.lianjia.com/xiaoqu/3611058219010/,82,9319,24,3046,106.478968,29.563674
150,150,http://cq.lianjia.com/ershoufang/CQSP91992113.html,http://cq.lianjia.com/xiaoqu/3611058134956/,65,6373,19,2415,106.488975,29.560175
151,151,http://cq.lianjia.com/ershoufang/CQSP91848743.html,http://cq.lianjia.com/xiaoqu/3611060457172/,61,6778,18,2266,0,0
152,152,http://cq.lianjia.com/ershoufang/CQSP92067897.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,7472,19,2415,0,0
153,153,http://cq.lianjia.com/ershoufang/CQSP92019581.html,http://cq.lianjia.com/xiaoqu/3611058134956/,100,7875,30,3715,106.488975,29.560175
154,154,http://cq.lianjia.com/ershoufang/CQSP92416722.html,http://cq.lianjia.com/xiaoqu/3611060388358/,75,8523,22,2786,106.488975,29.560175
155,155,http://cq.lianjia.com/ershoufang/CQSP91635095.html,http://cq.lianjia.com/xiaoqu/3611063096059/,47,7967,14,1746,106.488975,29.560175
156,156,http://cq.lianjia.com/ershoufang/CQSP91705564.html,http://cq.lianjia.com/xiaoqu/3611060457172/,96,8276,28,3566,0,0
157,157,http://cq.lianjia.com/ershoufang/CQSP92053142.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,8553,19,2415,0,0
158,158,http://cq.lianjia.com/ershoufang/CQSP92420154.html,http://cq.lianjia.com/xiaoqu/3611058219010/,72,11429,21,2675,106.478968,29.563674
159,159,http://cq.lianjia.com/ershoufang/CQSP92418439.html,http://cq.lianjia.com/xiaoqu/3611060457172/,34,7907,10,1263,0,0
160,160,http://cq.lianjia.com/ershoufang/CQSP92389866.html,http://cq.lianjia.com/xiaoqu/3611060401147/,68,8718,20,2526,0,0
161,161,http://cq.lianjia.com/ershoufang/CQSP92412243.html,http://cq.lianjia.com/xiaoqu/3611060388358/,90,7615,27,3344,106.488975,29.560175
162,162,http://cq.lianjia.com/ershoufang/CQSP92372714.html,http://cq.lianjia.com/xiaoqu/3611058134956/,67,6980,20,2489,106.488975,29.560175
163,163,http://cq.lianjia.com/ershoufang/CQSP92414040.html,http://cq.lianjia.com/xiaoqu/3611060401147/,42,8077,12,1560,0,0
164,164,http://cq.lianjia.com/ershoufang/CQSP92404769.html,http://cq.lianjia.com/xiaoqu/3611063775981/,90,10159,27,3344,106.488975,29.560175
165,165,http://cq.lianjia.com/ershoufang/CQSP92418175.html,http://cq.lianjia.com/xiaoqu/3611063775981/,60,7229,18,2229,106.488975,29.560175
166,166,http://cq.lianjia.com/ershoufang/CQSP92384263.html,http://cq.lianjia.com/xiaoqu/3611059553461/,30,6123,9,1115,106.478402,29.557803
167,167,http://cq.lianjia.com/ershoufang/CQSP92079642.html,http://cq.lianjia.com/xiaoqu/3611060402684/,80,7921,24,2972,106.488975,29.560175
168,168,http://cq.lianjia.com/ershoufang/CQSP90417369.html,http://cq.lianjia.com/xiaoqu/3611060457172/,70,7955,21,2601,0,0
169,169,http://cq.lianjia.com/ershoufang/CQSP91080423.html,http://cq.lianjia.com/xiaoqu/3611058134956/,98,7314,29,3641,106.488975,29.560175
170,170,http://cq.lianjia.com/ershoufang/CQSP92046903.html,http://cq.lianjia.com/xiaoqu/3611060388358/,81,7500,24,3009,106.488975,29.560175
171,171,http://cq.lianjia.com/ershoufang/CQSP92054696.html,http://cq.lianjia.com/xiaoqu/3611058134956/,105,6442,31,3901,106.488975,29.560175
172,172,http://cq.lianjia.com/ershoufang/CQSP91903386.html,http://cq.lianjia.com/xiaoqu/3611058219010/,82,9319,24,3046,106.478968,29.563674
173,173,http://cq.lianjia.com/ershoufang/CQSP91992113.html,http://cq.lianjia.com/xiaoqu/3611058134956/,65,6373,19,2415,106.488975,29.560175
174,174,http://cq.lianjia.com/ershoufang/CQSP91848743.html,http://cq.lianjia.com/xiaoqu/3611060457172/,61,6778,18,2266,0,0
175,175,http://cq.lianjia.com/ershoufang/CQSP92067897.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,7472,19,2415,0,0
176,176,http://cq.lianjia.com/ershoufang/CQSP92019581.html,http://cq.lianjia.com/xiaoqu/3611058134956/,100,7875,30,3715,106.488975,29.560175
177,177,http://cq.lianjia.com/ershoufang/CQSP92416722.html,http://cq.lianjia.com/xiaoqu/3611060388358/,75,8523,22,2786,106.488975,29.560175
178,178,http://cq.lianjia.com/ershoufang/CQSP91635095.html,http://cq.lianjia.com/xiaoqu/3611063096059/,47,7967,14,1746,106.488975,29.560175
179,179,http://cq.lianjia.com/ershoufang/CQSP91705564.html,http://cq.lianjia.com/xiaoqu/3611060457172/,96,8276,28,3566,0,0
180,180,http://cq.lianjia.com/ershoufang/CQSP92053142.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,8553,19,2415,0,0
181,181,http://cq.lianjia.com/ershoufang/CQSP92420154.html,http://cq.lianjia.com/xiaoqu/3611058219010/,72,11429,21,2675,106.478968,29.563674
182,182,http://cq.lianjia.com/ershoufang/CQSP92418439.html,http://cq.lianjia.com/xiaoqu/3611060457172/,34,7907,10,1263,0,0
183,183,http://cq.lianjia.com/ershoufang/CQSP92389866.html,http://cq.lianjia.com/xiaoqu/3611060401147/,68,8718,20,2526,0,0
184,184,http://cq.lianjia.com/ershoufang/CQSP92412243.html,http://cq.lianjia.com/xiaoqu/3611060388358/,90,7615,27,3344,106.488975,29.560175
185,185,http://cq.lianjia.com/ershoufang/CQSP92372714.html,http://cq.lianjia.com/xiaoqu/3611058134956/,67,6980,20,2489,106.488975,29.560175
186,186,http://cq.lianjia.com/ershoufang/CQSP92414040.html,http://cq.lianjia.com/xiaoqu/3611060401147/,42,8077,12,1560,0,0
