,build_year,lat,lng,total_building,total_house,wy_fee
2090,2009,106.527189,29.581037,2,1980,0.0
2091,2009,106.527189,29.581037,5,1902,1.8
2092,2007,106.548901,29.577621,6,1654,0.0
2093,2010,106.516214,29.578442,21,570,0.0
2094,0,0,0,2,384,0.0
2095,0,106.543372,29.566124,1,180,1.2
2096,2011,106.548901,29.577621,12,3248,1.8
2097,2006,106.54233,29.564769,7,1127,1.2
2098,2006,106.54233,29.564769,7,1127,1.2
2099,2009,106.527189,29.581037,17,1144,0.8
2100,2014,106.516214,29.578442,6,1272,1.8
2101,2009,106.527189,29.581037,5,1902,1.8
2102,0,0,0,6,652,0.0
2103,2006,106.54233,29.564769,7,1127,1.2
2104,2009,106.527189,29.581037,5,1902,1.8
2105,0,106.527189,29.581037,1,396,0.0
2106,2010,106.516214,29.578442,21,570,0.0
2107,2009,106.527189,29.581037,17,1144,0.8
2108,0,106.527324,29.593026,2,1223,0.0
2109,2012,106.506063,29.57726,87,1009,2.8
2110,2005,106.549642,29.587637,5,1822,0.0
2111,2009,106.527189,29.581037,2,1980,0.0
2112,0,106.543372,29.566124,1,180,1.2
2113,0,106.527189,29.581037,2,378,0.0
2114,2006,106.543372,29.566124,2,1600,1.2
2115,2006,106.543372,29.566124,2,1600,1.2
2116,2009,106.527189,29.581037,2,1980,0.0
2117,2009,106.527189,29.581037,5,1902,1.8
2118,2007,106.548901,29.577621,6,1654,0.0
2119,2010,106.516214,29.578442,21,570,0.0
2120,0,0,0,2,384,0.0
2121,0,106.543372,29.566124,1,180,1.2
2122,2011,106.548901,29.577621,12,3248,1.8
2123,2006,106.54233,29.564769,7,1127,1.2
2124,2006,106.54233,29.564769,7,1127,1.2
2125,2009,106.527189,29.581037,17,1144,0.8
2126,2014,106.516214,29.578442,6,1272,1.8
2127,2009,106.527189,29.581037,5,1902,1.8
2128,0,0,0,6,652,0.0
2129,2006,106.54233,29.564769,7,1127,1.2
2130,2009,106.527189,29.581037,5,1902,1.8
2131,0,106.527189,29.581037,1,396,0.0
2132,2010,106.516214,29.578442,21,570,0.0
2133,2009,106.527189,29.581037,17,1144,0.8
2134,0,106.527324,29.593026,2,1223,0.0
2135,2012,106.506063,29.57726,87,1009,2.8
2136,2005,106.549642,29.587637,5,1822,0.0
2137,2009,106.527189,29.581037,2,1980,0.0
2138,0,106.543372,29.566124,1,180,1.2
2139,0,106.527189,29.581037,2,378,0.0
2140,2006,106.543372,29.566124,2,1600,1.2
2141,2006,106.543372,29.566124,2,1600,1.2
2142,2009,106.527189,29.581037,2,1980,0.0
2143,2009,106.527189,29.581037,5,1902,1.8
2144,2007,106.548901,29.577621,6,1654,0.0
2145,2010,106.516214,29.578442,21,570,0.0
2146,0,0,0,2,384,0.0
2147,0,106.543372,29.566124,1,180,1.2
2148,2011,106.548901,29.577621,12,3248,1.8
2149,2006,106.54233,29.564769,7,1127,1.2
2150,2006,106.54233,29.564769,7,1127,1.2
2151,2009,106.527189,29.581037,17,1144,0.8
2152,2014,106.516214,29.578442,6,1272,1.8
2153,2009,106.527189,29.581037,5,1902,1.8
2154,0,0,0,6,652,0.0
2155,2006,106.54233,29.564769,7,1127,1.2
2156,2009,106.527189,29.581037,5,1902,1.8
